[2024-04-10T11:41:25.606+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-04-10T11:41:25.650+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Process_W3_Data.BuildDimDate scheduled__2024-04-09T00:00:00+00:00 [queued]>
[2024-04-10T11:41:25.666+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Process_W3_Data.BuildDimDate scheduled__2024-04-09T00:00:00+00:00 [queued]>
[2024-04-10T11:41:25.667+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-04-10T11:41:25.696+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): BuildDimDate> on 2024-04-09 00:00:00+00:00
[2024-04-10T11:41:25.710+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=270) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-04-10T11:41:25.713+0000] {standard_task_runner.py:63} INFO - Started process 274 to run task
[2024-04-10T11:41:25.721+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'Process_W3_Data', 'BuildDimDate', 'scheduled__2024-04-09T00:00:00+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/w3c.py', '--cfg-path', '/tmp/tmpqbxtoqb8']
[2024-04-10T11:41:25.727+0000] {standard_task_runner.py:91} INFO - Job 15: Subtask BuildDimDate
[2024-04-10T11:41:25.824+0000] {task_command.py:426} INFO - Running <TaskInstance: Process_W3_Data.BuildDimDate scheduled__2024-04-09T00:00:00+00:00 [running]> on host 426f0b9f9d71
[2024-04-10T11:41:26.085+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Process_W3_Data' AIRFLOW_CTX_TASK_ID='BuildDimDate' AIRFLOW_CTX_EXECUTION_DATE='2024-04-09T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-09T00:00:00+00:00'
[2024-04-10T11:41:26.095+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-04-10T11:41:26.099+0000] {logging_mixin.py:188} INFO - 2009-10-24
[2024-04-10T11:41:26.101+0000] {logging_mixin.py:188} INFO - 2009-10-25
[2024-04-10T11:41:26.101+0000] {logging_mixin.py:188} INFO - 2009-11-02
[2024-04-10T11:41:26.102+0000] {logging_mixin.py:188} INFO - 2009-11-03
[2024-04-10T11:41:26.102+0000] {logging_mixin.py:188} INFO - 2009-11-06
[2024-04-10T11:41:26.103+0000] {logging_mixin.py:188} INFO - 2009-11-20
[2024-04-10T11:41:26.115+0000] {logging_mixin.py:188} INFO - 2009-11-23
[2024-04-10T11:41:26.115+0000] {logging_mixin.py:188} INFO - 2009-11-30
[2024-04-10T11:41:26.116+0000] {logging_mixin.py:188} INFO - 2009-12-07
[2024-04-10T11:41:26.116+0000] {logging_mixin.py:188} INFO - 2009-12-11
[2024-04-10T11:41:26.117+0000] {logging_mixin.py:188} INFO - 2009-12-13
[2024-04-10T11:41:26.117+0000] {logging_mixin.py:188} INFO - 2010-01-04
[2024-04-10T11:41:26.118+0000] {logging_mixin.py:188} INFO - 2010-01-05
[2024-04-10T11:41:26.118+0000] {logging_mixin.py:188} INFO - 2010-01-06
[2024-04-10T11:41:26.118+0000] {logging_mixin.py:188} INFO - 2010-01-12
[2024-04-10T11:41:26.119+0000] {logging_mixin.py:188} INFO - 2010-01-13
[2024-04-10T11:41:26.137+0000] {logging_mixin.py:188} INFO - 2010-01-17
[2024-04-10T11:41:26.137+0000] {logging_mixin.py:188} INFO - 2010-01-31
[2024-04-10T11:41:26.138+0000] {logging_mixin.py:188} INFO - 2010-02-04
[2024-04-10T11:41:26.139+0000] {logging_mixin.py:188} INFO - 2010-02-05
[2024-04-10T11:41:26.139+0000] {logging_mixin.py:188} INFO - 2010-02-21
[2024-04-10T11:41:26.140+0000] {logging_mixin.py:188} INFO - 2010-03-02
[2024-04-10T11:41:26.140+0000] {logging_mixin.py:188} INFO - 2010-03-04
[2024-04-10T11:41:26.140+0000] {logging_mixin.py:188} INFO - 2010-03-07
[2024-04-10T11:41:26.141+0000] {logging_mixin.py:188} INFO - 2010-03-09
[2024-04-10T11:41:26.141+0000] {logging_mixin.py:188} INFO - 2010-03-14
[2024-04-10T11:41:26.142+0000] {logging_mixin.py:188} INFO - 2010-03-15
[2024-04-10T11:41:26.142+0000] {logging_mixin.py:188} INFO - 2010-03-22
[2024-04-10T11:41:26.143+0000] {logging_mixin.py:188} INFO - 2010-04-06
[2024-04-10T11:41:26.144+0000] {logging_mixin.py:188} INFO - 2010-04-19
[2024-04-10T11:41:26.144+0000] {logging_mixin.py:188} INFO - 2010-04-22
[2024-04-10T11:41:26.146+0000] {logging_mixin.py:188} INFO - 2010-04-23
[2024-04-10T11:41:26.147+0000] {logging_mixin.py:188} INFO - 2010-04-24
[2024-04-10T11:41:26.147+0000] {logging_mixin.py:188} INFO - 2010-04-25
[2024-04-10T11:41:26.148+0000] {logging_mixin.py:188} INFO - 2010-04-30
[2024-04-10T11:41:26.148+0000] {logging_mixin.py:188} INFO - 2010-05-19
[2024-04-10T11:41:26.148+0000] {logging_mixin.py:188} INFO - 2010-05-20
[2024-04-10T11:41:26.149+0000] {logging_mixin.py:188} INFO - 2010-05-26
[2024-04-10T11:41:26.156+0000] {logging_mixin.py:188} INFO - 2010-05-28
[2024-04-10T11:41:26.157+0000] {logging_mixin.py:188} INFO - 2010-06-12
[2024-04-10T11:41:26.157+0000] {logging_mixin.py:188} INFO - 2010-06-15
[2024-04-10T11:41:26.158+0000] {logging_mixin.py:188} INFO - 2010-06-19
[2024-04-10T11:41:26.158+0000] {logging_mixin.py:188} INFO - 2010-06-22
[2024-04-10T11:41:26.159+0000] {logging_mixin.py:188} INFO - 2010-06-26
[2024-04-10T11:41:26.159+0000] {logging_mixin.py:188} INFO - 2010-06-28
[2024-04-10T11:41:26.169+0000] {logging_mixin.py:188} INFO - 2010-06-29
[2024-04-10T11:41:26.170+0000] {logging_mixin.py:188} INFO - 2010-06-30
[2024-04-10T11:41:26.171+0000] {logging_mixin.py:188} INFO - 2010-07-05
[2024-04-10T11:41:26.172+0000] {logging_mixin.py:188} INFO - 2010-07-08
[2024-04-10T11:41:26.172+0000] {logging_mixin.py:188} INFO - 2010-07-14
[2024-04-10T11:41:26.173+0000] {logging_mixin.py:188} INFO - 2010-08-09
[2024-04-10T11:41:26.173+0000] {logging_mixin.py:188} INFO - 2010-08-30
[2024-04-10T11:41:26.173+0000] {logging_mixin.py:188} INFO - 2010-09-12
[2024-04-10T11:41:26.188+0000] {logging_mixin.py:188} INFO - 2010-09-16
[2024-04-10T11:41:26.189+0000] {logging_mixin.py:188} INFO - 2010-09-23
[2024-04-10T11:41:26.189+0000] {logging_mixin.py:188} INFO - 2010-10-08
[2024-04-10T11:41:26.190+0000] {logging_mixin.py:188} INFO - 2010-10-20
[2024-04-10T11:41:26.190+0000] {logging_mixin.py:188} INFO - 2010-10-31
[2024-04-10T11:41:26.191+0000] {logging_mixin.py:188} INFO - 2010-11-26
[2024-04-10T11:41:26.191+0000] {logging_mixin.py:188} INFO - 2010-12-15
[2024-04-10T11:41:26.191+0000] {logging_mixin.py:188} INFO - 2010-12-23
[2024-04-10T11:41:26.192+0000] {logging_mixin.py:188} INFO - 2010-12-25
[2024-04-10T11:41:26.192+0000] {logging_mixin.py:188} INFO - 2011-01-19
[2024-04-10T11:41:26.194+0000] {logging_mixin.py:188} INFO - 2011-01-30
[2024-04-10T11:41:26.194+0000] {logging_mixin.py:188} INFO - 2011-02-05
[2024-04-10T11:41:26.194+0000] {logging_mixin.py:188} INFO - 2011-02-09
[2024-04-10T11:41:26.195+0000] {logging_mixin.py:188} INFO - 2011-02-12
[2024-04-10T11:41:26.199+0000] {logging_mixin.py:188} INFO - 2011-02-18
[2024-04-10T11:41:26.200+0000] {logging_mixin.py:188} INFO - 2011-03-06
[2024-04-10T11:41:26.201+0000] {logging_mixin.py:188} INFO - 2011-04-05
[2024-04-10T11:41:26.202+0000] {logging_mixin.py:188} INFO - 2011-04-11
[2024-04-10T11:41:26.202+0000] {logging_mixin.py:188} INFO - 2011-04-24
[2024-04-10T11:41:26.203+0000] {logging_mixin.py:188} INFO - 2011-04-27
[2024-04-10T11:41:26.203+0000] {logging_mixin.py:188} INFO - 2011-05-10
[2024-04-10T11:41:26.204+0000] {logging_mixin.py:188} INFO - Date
[2024-04-10T11:41:26.204+0000] {logging_mixin.py:188} INFO - Error with Date
